B#Zločin# 
C#Zločin motivovaný rasovou nesnášenlivostí nebo nenávistí# 
D#Zločin motivovaný národnostní nesnášenlivostí nebo nenávistí# 
E#Zločin motivovaný náboženskou nesnášenlivostí nebo nenávistí# 
F#teroristický útok# 
G#Zločin - divácké násilí # 
H#Zločin motivovaný jinou nesnášenlivostí nebo nenávistí# 
R#Přečin# 
S#Přečin motivovaný rasovou nesnášenlivostí nebo nenávistí# 
T#Přečin motivovaný národnostní nesnášenlivostí nebo nenávistí# 
U#Přečin motivovaný náboženskou nesnášenlivostí nebo nenávistí# 
V#Přečin - divácké násilí# 
W#Přečin motivovaný jinou nesnášenlivostí nebo nenávistí# 
2#Trestný čin# 
4#TČ motivovaný rasovou nesnášenlivostí nebo nenávistí# 
5#TČ motivovaný národnostní nesnášenlivostí nebo nenávistí# 
6#TČ motivovaný náboženskou nesnášenlivostí nebo nenávistí# 
7#teroristický útok# 
8#TČ - divácké násilí# 
9#TČ motivovaný jinou nesnášenlivostí nebo nenávistí# 
