Kód#Heslo#Poznámka
##
#SKUPINA OSOB#Sloupec 3
##
#STRUKTURA SKUPINY#položka
1#muž a žena# 
2#dva muži# 
3#dvě ženy# 
4#více mužů než šest# 
5#více žen než šest# 
6#jiné složení skupiny# 
A#jeden muž dvě ženy# 
B#jeden muž tři ženy# 
C#dva muži jedna žena# 
D#dva muži dvě ženy# 
E#dva muži tři ženy# 
H#tři muži jedna žena# 
I#tři muži dvě ženy# 
J#tři muži tři ženy# 
K#tři muži# 
L#čtyři muži# 
M#pět mužů# 
N#šest mužů# 
O#tři ženy# 
P#čtyři ženy# 
R#pět žen# 
S#šest žen# 
T#čtyři muži jedna žena# 
U#čtyři muži dvě ženy# 
V#pět mužů jedna žena# 
W#jeden muž čtyři ženy# 
X#dva muži čtyři ženy# 
Z#jeden muž pět žen# 
